Time,# TXs,Agg. # TXs,Unique Senders,Unique Receivers,Unique Users,Vol (Native),Agg. Vol (Native),Mints (Native),Burns (Native),Supply (Native)
2022-07-31T00:00:00Z,,14883,,,,,17116755.543177273,0,0,169106.5523062363
2022-07-30T00:00:00Z,67,14883,29,44,52,11759.55248903382,17116755.543177273,0,0,169106.5523062363
2022-07-29T00:00:00Z,39,14816,23,29,36,9806.944427230017,17104995.99068824,0,0,169106.5523062363
2022-07-28T00:00:00Z,60,14777,33,37,54,14798.57811470906,17095189.04626101,0,0,169106.5523062363
2022-07-27T00:00:00Z,47,14717,26,34,45,7975.094218124406,17080390.468146298,0,0,169106.5523062363
2022-07-26T00:00:00Z,69,14670,30,38,48,11384.108603670758,17072415.373928174,0,0,169106.5523062363
2022-07-25T00:00:00Z,73,14601,38,58,72,8273.312863448065,17061031.265324503,0,0,169106.5523062363
2022-07-24T00:00:00Z,55,14528,26,37,45,18996.969823087824,17052757.952461056,0,-4370.42788070041,169106.5523062363
2022-07-23T00:00:00Z,52,14473,34,39,55,37529.691521997316,17033760.982637968,5491.562051919999,-20066.033431541437,173476.9801869367
2022-07-22T00:00:00Z,57,14421,24,38,46,31141.38745090218,16996231.29111597,0,0,188051.45156655816
2022-07-21T00:00:00Z,46,14364,27,38,47,35868.930409363544,16965089.903665066,0,0,188051.45156655816
2022-07-20T00:00:00Z,66,14318,36,45,62,20799.26194982627,16929220.9732557,0,-1144.4493341351422,188051.45156655816
2022-07-19T00:00:00Z,60,14252,38,40,58,7896.451862528129,16908421.711305875,0,-97.76977138890702,189195.9009006933
2022-07-18T00:00:00Z,61,14192,30,41,51,11949.964198066886,16900525.259443346,0,0,189293.6706720822
2022-07-17T00:00:00Z,52,14131,28,38,51,15757.968514413846,16888575.29524528,9.982071310824256,0,189293.6706720822
2022-07-16T00:00:00Z,50,14079,33,42,55,21907.520851461803,16872817.326730866,0,0,189283.68860077136
2022-07-15T00:00:00Z,52,14029,32,42,52,30105.832304199765,16850909.805879403,0,0,189283.68860077136
2022-07-14T00:00:00Z,49,13977,28,39,47,17979.54896144992,16820803.973575205,389.99999999999994,-76.79160913289876,189283.68860077136
2022-07-13T00:00:00Z,45,13928,27,32,41,15893.392295403451,16802824.424613755,0,0,188970.48020990426
2022-07-12T00:00:00Z,58,13883,37,38,58,18396.30731194184,16786931.03231835,0,0,188970.48020990426
2022-07-11T00:00:00Z,67,13825,40,50,66,10250.698899035722,16768534.725006407,0,-82.80870226632881,188970.48020990426
2022-07-10T00:00:00Z,22,13758,18,19,30,6274.004123495982,16758284.02610737,0,0,189053.2889121706
2022-07-09T00:00:00Z,60,13736,32,43,53,25262.13931389361,16752010.021983875,0,0,189053.2889121706
2022-07-08T00:00:00Z,37,13676,20,26,34,7303.506609887216,16726747.882669982,0,0,189053.2889121706
2022-07-07T00:00:00Z,59,13639,29,37,48,30161.90730991267,16719444.376060095,0,0,189053.2889121706
2022-07-06T00:00:00Z,31,13580,24,26,37,7415.236820304734,16689282.468750183,0,0,189053.2889121706
2022-07-05T00:00:00Z,47,13549,28,33,49,19130.198461823322,16681867.231929878,0,0,189053.2889121706
2022-07-04T00:00:00Z,44,13502,23,33,44,18779.256719155597,16662737.033468055,1810,0,189053.2889121706
2022-07-03T00:00:00Z,54,13458,30,33,49,15256.243883402081,16643957.7767489,132.92346716,0,187243.2889121706
2022-07-02T00:00:00Z,68,13404,33,41,50,41868.56683973638,16628701.532865498,5993.44,0,187110.3654450106
2022-07-01T00:00:00Z,64,13336,33,43,55,17620.420891003738,16586832.966025762,0,-248.81855315411036,181116.9254450106
2022-06-30T00:00:00Z,110,13272,37,41,53,33766.38085505299,16569212.545134759,0,0,181365.74399816472
2022-06-29T00:00:00Z,57,13162,25,35,48,28328.753956238797,16535446.164279705,0,0,181365.74399816472
2022-06-28T00:00:00Z,69,13105,32,46,57,24704.337332781106,16507117.410323465,0,0,181365.74399816472
2022-06-27T00:00:00Z,70,13036,33,47,62,27677.07864430266,16482413.072990684,0,-490.74265288095773,181365.74399816472
2022-06-26T00:00:00Z,33,12966,22,22,32,5712.619494222805,16454735.994346382,0,0,181856.48665104568
2022-06-25T00:00:00Z,43,12933,30,36,52,8480.025475997492,16449023.37485216,0,0,181856.48665104568
2022-06-24T00:00:00Z,71,12890,33,47,57,47127.63979726246,16440543.349376163,0,0,181856.48665104568
2022-06-23T00:00:00Z,42,12819,25,33,40,8302.443395394092,16393415.7095789,0,0,181856.48665104568
2022-06-22T00:00:00Z,68,12777,35,48,61,20751.987393833704,16385113.266183505,0,-222.06278901142585,181856.48665104568
2022-06-21T00:00:00Z,59,12709,34,39,50,25552.144289064774,16364361.278789671,24,-2699.020180684384,182078.5494400571
2022-06-20T00:00:00Z,73,12650,34,44,57,27324.718236035784,16338809.134500606,0,0,184753.5696207415
2022-06-19T00:00:00Z,61,12577,35,40,59,53170.476114009376,16311484.41626457,26951.521587352352,0,184753.5696207415
2022-06-18T00:00:00Z,49,12516,23,30,41,7362.875170633676,16258313.94015056,0,-2890.9512214447986,157802.04803338915
2022-06-17T00:00:00Z,81,12467,33,51,62,22176.91869789908,16250951.064979928,0,-261.2420442691357,160692.99925483394
2022-06-16T00:00:00Z,39,12386,22,34,43,12085.550215533882,16228774.146282028,0,0,160954.24129910307
2022-06-15T00:00:00Z,95,12347,32,47,54,58240.55259347714,16216688.596066495,0,-2206.860689045549,160954.24129910307
2022-06-14T00:00:00Z,77,12252,38,43,58,54072.191744132404,16158448.043473018,9973.622265940001,0,163161.1019881486
2022-06-13T00:00:00Z,83,12175,26,32,38,69364.75236154557,16104375.851728886,0,0,153187.4797222086
2022-06-12T00:00:00Z,58,12092,30,40,49,47975.299788898614,16035011.099367341,10006.271347220001,-2036.5298825775399,153187.4797222086
2022-06-11T00:00:00Z,57,12034,27,32,42,12976.626704306149,15987035.799578443,0,0,145217.73825756615
2022-06-10T00:00:00Z,65,11977,27,34,45,31346.254353095486,15974059.172874138,0,-1616.491501623626,145217.73825756615
